input,output
"[B(p, f)] B(r, f) | S(u, y) | B(m, t) | B(p, m) | P(c, x) | B(t, r)","[1, 0, 1, 1, 0, 1]"
"[P(l, a)] P(u, q) | P(l, u) | B(y, d) | B(v, n) | P(q, a) | B(t, b)","[1, 1, 0, 0, 1, 0]"
"[P(q, j)] S(x, c) | P(b, f) | P(t, j) | S(s, r) | P(q, b) | P(f, t)","[0, 1, 1, 0, 1, 1]"
"[P(z, q)] B(u, h) | P(l, q) | P(f, l) | P(z, f) | S(r, m)","[0, 1, 1, 1, 0]"
"[S(b, n)] P(d, l) | B(q, i) | S(a, n) | S(v, a) | S(z, t) | S(t, v) | S(s, g) | S(b, z)","[0, 0, 1, 1, 1, 1, 0, 1]"
"[B(e, b)] B(e, o) | B(f, b) | S(t, h) | B(c, j) | B(o, f) | S(m, r)","[1, 1, 0, 0, 1, 0]"
"[P(c, i)] P(s, l) | P(d, g) | B(j, t) | P(k, i) | P(n, s) | P(x, a) | P(l, k) | P(c, n)","[1, 0, 0, 1, 1, 0, 1, 1]"
"[P(k, p)] P(n, p) | P(k, m) | S(a, h) | P(m, n) | S(o, r)","[1, 1, 0, 1, 0]"
"[S(z, l)] S(r, l) | S(z, y) | S(e, w) | S(i, p) | S(y, r) | S(u, f)","[1, 1, 0, 0, 1, 0]"
"[P(o, y)] B(e, g) | B(u, k) | P(o, h) | P(h, w) | P(w, y)","[0, 0, 1, 1, 1]"
"[P(x, h)] P(t, y) | P(y, h) | S(g, e) | P(x, t) | B(u, i)","[1, 1, 0, 1, 0]"
"[B(o, k)] B(b, k) | B(o, e) | B(i, u) | B(l, a) | B(e, l) | P(x, w) | B(h, s) | B(a, b)","[1, 1, 0, 1, 1, 0, 0, 1]"
"[P(i, u)] P(s, y) | P(j, e) | P(x, a) | P(i, s) | P(w, u) | P(f, c) | P(y, w)","[1, 0, 0, 1, 1, 0, 1]"
"[B(y, q)] B(j, q) | P(z, r) | B(c, j) | B(e, v) | B(y, c) | B(d, h) | S(s, m)","[1, 0, 1, 0, 1, 0, 0]"
"[S(h, f)] S(l, m) | B(a, z) | S(h, v) | S(m, f) | P(q, w) | P(p, g) | S(v, l)","[1, 0, 1, 1, 0, 0, 1]"
"[S(z, y)] S(g, k) | S(z, g) | P(s, f) | P(v, a) | S(k, y) | S(d, h) | S(c, r)","[1, 1, 0, 0, 1, 0, 0]"
"[S(g, a)] S(s, x) | S(y, o) | S(x, y) | S(g, s) | S(i, m) | S(o, a) | S(j, u)","[1, 1, 1, 1, 0, 1, 0]"
"[B(r, w)] P(x, n) | B(m, z) | P(e, u) | B(d, m) | B(y, w) | B(r, d) | B(z, y)","[0, 1, 0, 1, 1, 1, 1]"
"[S(q, l)] S(e, l) | S(f, y) | S(p, v) | P(i, n) | S(x, d) | S(d, h) | S(h, e) | S(q, x)","[1, 0, 0, 0, 1, 1, 1, 1]"
"[S(n, d)] B(u, h) | B(q, v) | S(n, c) | S(c, b) | S(r, d) | S(b, r)","[0, 0, 1, 1, 1, 1]"
"[P(o, u)] B(e, c) | S(y, t) | P(z, s) | P(f, u) | P(g, b) | P(o, p) | P(p, g) | P(b, f)","[0, 0, 0, 1, 1, 1, 1, 1]"
"[S(g, x)] S(j, x) | P(w, l) | S(i, b) | S(v, j) | S(g, v)","[1, 0, 0, 1, 1]"
"[B(v, b)] B(x, p) | P(c, o) | B(h, d) | B(m, b) | B(v, h) | B(d, m)","[0, 0, 1, 1, 1, 1]"
"[S(j, s)] S(j, o) | B(m, v) | S(h, g) | P(z, d) | S(g, u) | B(e, a) | S(o, h) | S(u, s)","[1, 0, 1, 0, 1, 0, 1, 1]"
"[P(m, a)] P(m, n) | S(f, w) | S(q, b) | P(n, d) | P(d, a)","[1, 0, 0, 1, 1]"
"[S(y, b)] S(f, r) | S(e, b) | S(x, d) | S(q, m) | S(y, q) | S(m, e)","[0, 1, 0, 1, 1, 1]"
"[P(s, b)] P(p, l) | B(n, r) | P(d, k) | S(z, t) | P(l, b) | P(s, p)","[1, 0, 0, 0, 1, 1]"
"[B(v, b)] B(a, c) | B(y, o) | B(g, i) | B(c, b) | P(s, e) | B(o, a) | B(v, y) | S(l, d)","[1, 1, 0, 1, 0, 1, 1, 0]"
"[P(g, i)] P(w, e) | B(k, d) | P(s, i) | P(e, l) | P(f, r) | P(l, s) | P(g, w)","[1, 0, 1, 1, 0, 1, 1]"
"[P(v, i)] P(o, p) | S(y, x) | P(g, o) | P(p, i) | P(v, m) | B(l, s) | P(m, g) | S(k, a) | S(f, r)","[1, 0, 1, 1, 1, 0, 1, 0, 0]"
"[S(i, k)] S(x, k) | S(o, x) | S(s, o) | S(e, b) | B(p, n) | S(j, s) | S(i, j)","[1, 1, 1, 0, 0, 1, 1]"
"[P(h, q)] S(d, p) | S(l, y) | S(x, r) | P(h, i) | P(i, u) | P(u, q) | P(b, k)","[0, 0, 0, 1, 1, 1, 0]"
"[S(v, a)] S(l, u) | S(t, l) | B(c, q) | S(j, m) | S(g, a) | S(v, t) | S(w, e) | P(k, f) | S(u, g)","[1, 1, 0, 0, 1, 1, 0, 0, 1]"
"[B(v, j)] B(v, p) | P(d, w) | B(p, i) | B(i, c) | B(c, j) | B(y, a) | B(u, b) | B(f, e)","[1, 0, 1, 1, 1, 0, 0, 0]"
"[B(j, i)] B(n, y) | B(y, i) | S(h, d) | B(j, n) | B(c, v)","[1, 1, 0, 1, 0]"
"[P(r, q)] P(n, q) | P(x, t) | P(r, j) | P(c, i) | P(j, n)","[1, 0, 1, 0, 1]"
"[B(e, r)] B(c, r) | B(e, k) | S(u, h) | S(d, m) | S(p, z) | B(w, j) | B(j, c) | B(k, w)","[1, 1, 0, 0, 0, 1, 1, 1]"
"[S(f, h)] S(z, e) | S(f, b) | S(u, o) | S(o, h) | S(t, u) | P(i, q) | S(n, c) | S(b, t)","[0, 1, 1, 1, 1, 0, 0, 1]"
"[B(n, t)] S(f, u) | B(s, t) | P(r, w) | S(l, p) | B(g, s) | B(n, g)","[0, 1, 0, 0, 1, 1]"
"[S(v, r)] S(z, s) | P(g, w) | S(e, r) | S(v, j) | S(j, e)","[0, 0, 1, 1, 1]"
"[S(j, k)] B(a, c) | S(f, m) | S(z, r) | S(j, f) | B(t, x) | S(m, k)","[0, 1, 0, 1, 0, 1]"
"[P(z, y)] B(f, n) | P(a, y) | P(z, e) | P(e, a) | S(g, u)","[0, 1, 1, 1, 0]"
"[B(e, t)] B(k, t) | P(a, n) | S(b, g) | B(e, z) | P(f, i) | B(d, h) | B(h, k) | B(z, d)","[1, 0, 0, 1, 0, 1, 1, 1]"
"[S(p, q)] S(t, h) | S(c, q) | S(u, c) | P(y, f) | S(i, w) | S(p, z) | S(z, u) | P(j, n)","[0, 1, 1, 0, 0, 1, 1, 0]"
"[S(i, x)] S(b, w) | P(m, g) | B(e, k) | S(w, x) | S(i, b)","[1, 0, 0, 1, 1]"
"[P(p, y)] B(e, z) | P(b, u) | P(p, f) | P(q, y) | P(f, q)","[0, 0, 1, 1, 1]"
"[B(i, b)] B(l, e) | B(i, o) | S(c, m) | P(j, u) | P(d, x) | P(r, a) | B(o, l) | B(e, b)","[1, 1, 0, 0, 0, 0, 1, 1]"
"[P(y, s)] P(j, r) | P(y, j) | S(k, t) | S(d, n) | P(r, s) | S(h, c) | P(b, p)","[1, 1, 0, 0, 1, 0, 0]"
"[P(i, f)] P(i, p) | P(g, h) | P(h, f) | P(p, g) | S(c, u) | B(z, s) | B(b, k)","[1, 1, 1, 1, 0, 0, 0]"
"[S(q, a)] S(q, e) | S(s, w) | S(w, a) | S(e, x) | S(x, s) | S(l, d) | P(i, j)","[1, 1, 1, 1, 1, 0, 0]"
"[S(g, t)] S(k, q) | S(g, h) | B(v, d) | S(h, x) | S(x, t)","[0, 1, 0, 1, 1]"
"[S(l, a)] S(l, z) | S(u, m) | S(i, a) | S(z, i) | B(x, c) | B(b, n) | B(s, d)","[1, 0, 1, 1, 0, 0, 0]"
"[S(w, b)] S(s, u) | B(z, g) | S(u, b) | S(c, k) | S(l, y) | S(w, c) | S(k, s)","[1, 0, 1, 1, 0, 1, 1]"
"[B(r, e)] B(f, e) | B(a, f) | B(r, a) | P(c, h) | S(g, k)","[1, 1, 1, 0, 0]"
"[B(u, p)] B(d, p) | B(u, a) | B(f, d) | S(m, l) | B(a, f) | S(x, o) | P(t, q) | B(g, h)","[1, 1, 1, 0, 1, 0, 0, 0]"
"[S(i, v)] S(a, l) | S(o, r) | B(j, s) | B(y, q) | S(h, d) | S(i, h) | S(t, x) | S(d, a) | S(l, v)","[1, 0, 0, 0, 1, 1, 0, 1, 1]"
"[B(t, i)] P(a, o) | B(p, i) | P(r, f) | B(j, g) | B(t, s) | B(m, z) | B(s, p)","[0, 1, 0, 0, 1, 0, 1]"
"[P(a, m)] S(h, c) | P(v, x) | S(s, p) | B(l, d) | S(e, g) | P(x, m) | P(a, v)","[0, 1, 0, 0, 0, 1, 1]"
"[S(w, h)] S(t, l) | P(x, f) | B(y, a) | S(m, t) | S(p, m) | B(n, u) | S(l, h) | S(w, p) | B(r, o)","[1, 0, 0, 1, 1, 0, 1, 1, 0]"
"[B(u, g)] P(l, d) | B(q, c) | P(o, x) | B(c, g) | B(t, q) | B(b, t) | B(u, b)","[0, 1, 0, 1, 1, 1, 1]"
"[S(o, s)] S(p, s) | S(c, d) | P(y, e) | S(d, p) | P(q, z) | S(o, c)","[1, 1, 0, 1, 0, 1]"
"[B(j, r)] B(j, i) | P(w, e) | S(s, h) | B(i, u) | P(n, z) | B(u, o) | B(o, p) | B(p, r) | B(y, k)","[1, 0, 0, 1, 0, 1, 1, 1, 0]"
"[B(c, g)] B(c, x) | S(l, m) | B(p, g) | B(x, p) | B(u, o)","[1, 0, 1, 1, 0]"
"[S(g, z)] S(v, q) | S(n, y) | P(p, b) | S(q, k) | S(k, r) | S(r, z) | S(g, v)","[1, 0, 0, 1, 1, 1, 1]"
"[P(f, d)] S(x, m) | P(y, b) | P(k, i) | S(q, j) | P(o, d) | B(a, u) | P(b, o) | P(f, y)","[0, 1, 0, 0, 1, 0, 1, 1]"
"[P(e, d)] P(h, b) | P(e, h) | S(s, q) | P(b, c) | P(c, d) | S(m, z)","[1, 1, 0, 1, 1, 0]"
"[S(d, i)] S(u, i) | P(q, e) | S(x, u) | S(k, s) | S(d, p) | S(p, x) | P(r, g)","[1, 0, 1, 0, 1, 1, 0]"
"[S(y, c)] S(t, z) | S(l, m) | S(m, c) | P(q, u) | B(h, x) | B(k, i) | S(y, l)","[0, 1, 1, 0, 0, 0, 1]"
"[P(c, p)] P(l, p) | B(j, z) | P(c, v) | S(e, m) | P(v, l)","[1, 0, 1, 0, 1]"
"[P(a, p)] S(f, d) | P(h, p) | S(b, l) | P(v, k) | S(z, x) | P(s, h) | P(a, s)","[0, 1, 0, 0, 0, 1, 1]"
"[S(m, j)] B(l, g) | S(f, t) | S(z, c) | S(m, f) | S(t, j) | P(o, k)","[0, 1, 0, 1, 1, 0]"
"[B(n, b)] P(f, s) | B(x, w) | B(m, b) | B(n, x) | B(w, m) | P(a, g) | B(v, t) | S(o, e)","[0, 1, 1, 1, 1, 0, 0, 0]"
"[B(o, m)] B(g, f) | P(j, k) | B(o, g) | P(i, a) | S(u, b) | B(p, n) | B(f, m)","[1, 0, 1, 0, 0, 0, 1]"
"[B(c, j)] B(i, j) | S(r, a) | B(o, i) | B(c, e) | B(e, l) | B(l, o) | B(m, y) | B(t, n)","[1, 0, 1, 1, 1, 1, 0, 0]"
"[B(k, a)] B(q, j) | B(f, v) | B(k, n) | B(v, a) | B(n, f) | B(e, d) | B(h, b)","[0, 1, 1, 1, 1, 0, 0]"
"[S(l, o)] S(l, n) | S(u, o) | S(b, p) | S(m, u) | S(n, m) | P(s, z)","[1, 1, 0, 1, 1, 0]"
"[P(r, v)] S(k, b) | S(c, f) | P(q, d) | P(d, v) | P(z, s) | P(r, q)","[0, 0, 1, 1, 0, 1]"
"[S(u, i)] S(y, w) | S(u, y) | B(c, b) | S(o, i) | P(j, m) | S(h, a) | S(w, o)","[1, 1, 0, 1, 0, 0, 1]"
"[S(d, c)] S(n, c) | S(w, n) | S(g, x) | S(q, r) | S(r, w) | S(f, t) | S(d, q)","[1, 1, 0, 1, 1, 0, 1]"
"[P(d, i)] P(a, h) | P(o, w) | P(v, k) | P(d, e) | P(p, a) | P(h, i) | P(e, p)","[1, 0, 0, 1, 1, 1, 1]"
"[B(v, j)] B(l, y) | B(e, l) | B(v, e) | P(g, t) | P(r, w) | B(y, a) | B(a, j)","[1, 1, 1, 0, 0, 1, 1]"
"[P(a, u)] B(q, i) | P(d, g) | P(g, u) | S(f, k) | P(s, d) | P(a, z) | B(l, y) | P(z, s) | B(w, p)","[0, 1, 1, 0, 1, 1, 0, 1, 0]"
"[P(t, j)] P(t, b) | P(r, w) | P(b, r) | P(w, z) | S(q, y) | P(z, j) | P(l, u)","[1, 1, 1, 1, 0, 1, 0]"
"[B(v, h)] P(w, n) | B(f, h) | P(p, x) | B(v, k) | B(k, a) | B(u, g) | B(m, q) | B(z, f) | B(a, z)","[0, 1, 0, 1, 1, 0, 0, 1, 1]"
"[P(o, z)] P(u, j) | P(o, k) | P(b, z) | P(l, a) | P(k, b)","[0, 1, 1, 0, 1]"
"[B(t, y)] B(i, d) | B(a, g) | S(s, j) | B(n, y) | S(e, v) | B(t, a) | B(h, n) | B(g, h) | S(w, b)","[0, 1, 0, 1, 0, 1, 1, 1, 0]"
"[P(l, b)] P(k, b) | P(d, k) | P(g, s) | P(x, i) | B(n, a) | P(l, z) | P(c, d) | P(z, c)","[1, 1, 0, 0, 0, 1, 1, 1]"
"[B(t, g)] B(m, e) | B(t, p) | B(n, m) | P(l, o) | B(e, g) | B(p, n) | S(v, b) | P(a, j)","[1, 1, 1, 0, 1, 1, 0, 0]"
"[S(t, f)] S(a, w) | S(w, i) | P(y, q) | S(t, a) | P(o, x) | S(i, f)","[1, 1, 0, 1, 0, 1]"
"[S(r, c)] S(r, d) | S(t, c) | S(d, t) | P(f, u) | B(m, b)","[1, 1, 1, 0, 0]"
"[P(m, n)] P(w, z) | P(k, n) | P(l, f) | P(t, l) | P(o, s) | S(x, q) | P(m, t) | P(f, k) | B(g, a)","[0, 1, 1, 1, 0, 0, 1, 1, 0]"
"[S(g, j)] S(v, j) | S(g, r) | S(u, s) | S(m, l) | B(e, i) | S(r, v)","[1, 1, 0, 0, 0, 1]"
"[P(y, d)] B(k, b) | P(u, z) | S(h, c) | P(v, d) | P(z, j) | B(s, t) | P(y, u) | B(i, o) | P(j, v)","[0, 1, 0, 1, 1, 0, 1, 0, 1]"
"[B(q, j)] B(u, a) | B(q, d) | S(k, c) | B(n, j) | B(d, n) | B(b, w)","[0, 1, 0, 1, 1, 0]"
"[P(c, b)] P(q, b) | P(g, e) | B(f, v) | P(c, g) | P(k, u) | P(i, p) | P(e, q) | P(h, n)","[1, 1, 0, 1, 0, 0, 1, 0]"
"[P(c, u)] P(k, u) | P(r, k) | B(w, g) | B(o, h) | S(b, a) | P(c, m) | S(s, p) | P(m, r)","[1, 1, 0, 0, 0, 1, 0, 1]"
"[B(z, j)] B(z, q) | B(i, w) | B(q, v) | P(h, b) | B(v, s) | S(y, e) | B(s, j)","[1, 0, 1, 0, 1, 0, 1]"
"[S(m, e)] S(y, l) | S(n, y) | P(x, s) | S(l, e) | S(m, n) | P(p, r) | P(g, h) | B(b, k)","[1, 1, 0, 1, 1, 0, 0, 0]"
"[B(y, f)] B(y, o) | B(o, x) | B(a, l) | P(i, e) | S(s, m) | B(x, f) | P(q, t)","[1, 1, 0, 0, 0, 1, 0]"
"[B(s, q)] B(k, w) | B(y, r) | B(w, q) | B(s, o) | B(o, k) | S(i, f) | S(u, g)","[1, 0, 1, 1, 1, 0, 0]"
"[B(c, r)] B(q, r) | B(g, q) | S(v, y) | B(s, d) | B(x, j) | B(c, x) | B(j, g) | S(p, n)","[1, 1, 0, 0, 1, 1, 1, 0]"
"[P(z, g)] S(n, f) | P(u, p) | S(e, y) | P(p, d) | P(d, c) | S(x, h) | P(z, u) | P(c, g) | B(r, a)","[0, 1, 0, 1, 1, 0, 1, 1, 0]"
"[B(e, o)] B(c, h) | B(v, o) | B(e, c) | B(h, n) | S(u, a) | S(x, g) | P(y, t) | B(n, v)","[1, 1, 1, 1, 0, 0, 0, 1]"
"[P(i, a)] P(o, a) | B(w, y) | P(q, l) | P(i, h) | P(l, o) | P(h, q) | B(u, m)","[1, 0, 1, 1, 1, 1, 0]"
"[P(w, y)] P(f, x) | S(q, p) | P(x, h) | P(j, f) | P(h, y) | P(o, n) | P(w, j) | S(l, a)","[1, 0, 1, 1, 1, 0, 1, 0]"
"[P(y, n)] S(l, z) | B(h, d) | S(r, b) | B(j, o) | P(s, g) | P(g, n) | P(f, s) | P(y, f)","[0, 0, 0, 0, 1, 1, 1, 1]"
"[P(v, q)] P(b, q) | P(n, j) | P(v, h) | B(w, d) | B(y, k) | P(h, n) | P(j, b)","[1, 1, 1, 0, 0, 1, 1]"
"[P(h, m)] P(f, a) | P(v, j) | P(a, v) | B(k, q) | B(p, b) | S(g, s) | P(j, m) | P(h, f)","[1, 1, 1, 0, 0, 0, 1, 1]"
"[S(p, w)] S(a, r) | S(s, w) | B(h, k) | B(m, b) | S(p, f) | S(r, s) | S(f, a) | S(q, n) | S(t, g)","[1, 1, 0, 0, 1, 1, 1, 0, 0]"
"[P(p, s)] P(p, c) | P(b, s) | S(v, o) | P(j, b) | P(t, g) | P(d, q) | P(c, j) | S(i, f)","[1, 1, 0, 1, 0, 0, 1, 0]"
"[S(k, y)] S(h, f) | S(f, y) | S(i, s) | P(g, l) | S(u, h) | P(x, a) | S(k, u)","[1, 1, 0, 0, 1, 0, 1]"
"[S(e, g)] B(z, i) | S(e, t) | S(m, g) | S(f, m) | S(t, f) | S(b, w) | B(p, q)","[0, 1, 1, 1, 1, 0, 0]"
"[P(v, y)] P(b, q) | S(l, s) | P(d, a) | P(a, y) | P(j, d) | P(h, j) | P(v, h)","[0, 0, 1, 1, 1, 1, 1]"
"[S(t, y)] S(t, b) | S(w, p) | S(b, d) | B(z, s) | S(d, y)","[1, 0, 1, 0, 1]"
"[B(j, c)] B(o, f) | B(f, c) | P(n, w) | P(d, z) | B(v, o) | B(j, v)","[1, 1, 0, 0, 1, 1]"
"[B(y, n)] B(s, c) | B(c, n) | B(y, s) | B(x, f) | P(v, t) | B(z, r)","[1, 1, 1, 0, 0, 0]"
"[S(t, h)] S(y, p) | P(f, v) | P(i, l) | S(t, y) | S(p, h)","[1, 0, 0, 1, 1]"
"[S(u, b)] S(n, j) | P(p, t) | S(m, b) | S(u, h) | S(h, m)","[0, 0, 1, 1, 1]"
"[P(e, m)] P(j, b) | P(k, q) | P(b, m) | P(q, j) | P(e, k) | B(i, l) | B(c, t)","[1, 1, 1, 1, 1, 0, 0]"
"[B(w, x)] B(z, n) | B(s, z) | P(e, o) | B(n, x) | B(w, s) | B(m, j) | S(c, t)","[1, 1, 0, 1, 1, 0, 0]"
"[B(y, e)] S(c, f) | B(z, p) | B(p, e) | B(r, z) | B(y, r) | P(n, i)","[0, 1, 1, 1, 1, 0]"
"[B(h, f)] B(h, n) | B(c, f) | P(p, x) | B(n, c) | B(l, t) | P(o, e) | P(r, z)","[1, 1, 0, 1, 0, 0, 0]"
"[B(a, y)] B(k, y) | B(s, n) | B(l, x) | P(d, z) | S(r, g) | B(a, l) | B(q, k) | B(x, q)","[1, 0, 1, 0, 0, 1, 1, 1]"
"[B(e, d)] B(x, y) | B(y, t) | S(r, l) | B(t, d) | S(q, w) | B(e, x) | P(j, a)","[1, 1, 0, 1, 0, 1, 0]"
"[S(p, e)] P(y, r) | S(d, t) | B(u, f) | B(w, z) | S(p, d) | S(t, e) | S(o, i)","[0, 1, 0, 0, 1, 1, 0]"
"[P(l, h)] B(f, t) | B(q, n) | S(o, u) | P(b, h) | P(l, p) | B(z, i) | P(p, b)","[0, 0, 0, 1, 1, 0, 1]"
"[B(g, h)] P(p, u) | B(i, c) | B(g, e) | B(e, y) | B(y, h) | B(v, l) | P(m, z)","[0, 0, 1, 1, 1, 0, 0]"
"[S(u, h)] S(d, z) | S(w, h) | S(z, w) | S(b, c) | S(u, d) | S(i, s)","[1, 1, 1, 0, 1, 0]"
"[S(a, k)] P(r, t) | P(u, w) | S(d, p) | S(m, k) | S(a, x) | S(x, d) | P(g, o) | S(p, m)","[0, 0, 1, 1, 1, 1, 0, 1]"
"[S(w, y)] S(e, k) | S(i, t) | S(z, d) | S(j, s) | P(h, c) | S(d, i) | S(w, z) | S(t, y) | S(v, q)","[0, 1, 1, 0, 0, 1, 1, 1, 0]"
"[B(m, j)] P(v, l) | B(n, x) | P(c, b) | P(e, u) | B(x, a) | S(y, g) | B(w, n) | B(m, w) | B(a, j)","[0, 1, 0, 0, 1, 0, 1, 1, 1]"
"[S(r, g)] S(l, z) | S(r, u) | S(h, b) | S(b, p) | S(u, h) | B(j, i) | S(p, g)","[0, 1, 1, 1, 1, 0, 1]"
"[S(r, v)] P(g, d) | S(i, v) | P(b, n) | S(x, i) | S(c, x) | B(e, k) | S(r, c)","[0, 1, 0, 1, 1, 0, 1]"
"[B(x, d)] B(p, d) | B(x, a) | B(o, p) | B(a, o) | S(w, j) | B(g, r)","[1, 1, 1, 1, 0, 0]"
"[P(r, a)] S(p, s) | P(r, n) | P(e, z) | P(n, x) | S(f, y) | P(x, a)","[0, 1, 0, 1, 0, 1]"
"[P(t, n)] P(o, e) | P(b, n) | P(a, q) | P(d, r) | B(l, s) | P(h, b) | P(q, h) | P(t, a)","[0, 1, 1, 0, 0, 1, 1, 1]"
"[P(p, c)] P(s, y) | B(d, x) | S(q, l) | P(p, s) | P(y, c)","[1, 0, 0, 1, 1]"
"[B(g, r)] B(x, s) | S(o, e) | B(q, b) | P(a, t) | B(s, r) | B(g, x) | S(f, c)","[1, 0, 0, 0, 1, 1, 0]"
"[P(z, w)] P(z, u) | P(u, e) | P(g, s) | P(e, y) | S(p, h) | P(y, a) | P(d, c) | P(a, w) | B(x, m)","[1, 1, 0, 1, 0, 1, 0, 1, 0]"
"[P(e, b)] P(o, k) | P(w, o) | S(h, n) | P(k, r) | B(y, s) | P(r, b) | P(e, w) | P(a, d)","[1, 1, 0, 1, 0, 1, 1, 0]"
"[B(n, b)] B(a, b) | S(m, q) | P(d, g) | B(n, l) | B(l, c) | B(c, a) | B(t, i)","[1, 0, 0, 1, 1, 1, 0]"
"[B(h, u)] S(n, y) | B(i, o) | B(o, u) | B(h, i) | P(m, l)","[0, 1, 1, 1, 0]"
"[B(b, t)] B(l, q) | S(f, g) | B(m, s) | S(x, d) | S(n, h) | B(b, m) | B(s, o) | B(o, t)","[0, 0, 1, 0, 0, 1, 1, 1]"
"[S(m, z)] S(k, z) | S(f, d) | S(m, c) | S(n, k) | S(c, n) | S(q, x) | P(u, i)","[1, 0, 1, 1, 1, 0, 0]"
"[S(r, c)] S(u, c) | S(a, t) | S(z, w) | P(j, x) | S(r, a) | S(f, q) | S(t, o) | S(o, u)","[1, 1, 0, 0, 1, 0, 1, 1]"
"[P(a, g)] P(m, x) | P(y, k) | P(i, r) | P(u, g) | P(x, u) | P(a, m)","[1, 0, 0, 1, 1, 1]"
"[P(h, k)] P(h, c) | P(q, k) | B(e, a) | P(f, q) | P(c, v) | B(g, n) | P(j, p) | P(v, f)","[1, 1, 0, 1, 1, 0, 0, 1]"
"[B(h, j)] B(l, m) | B(h, z) | B(b, r) | B(z, e) | B(e, j)","[0, 1, 0, 1, 1]"
"[B(r, g)] B(h, e) | B(z, o) | B(r, z) | B(f, y) | B(c, t) | B(n, u) | B(o, g)","[0, 1, 1, 0, 0, 0, 1]"
"[B(c, d)] B(o, u) | B(p, q) | P(z, l) | B(c, p) | B(w, k) | B(q, d)","[0, 1, 0, 1, 0, 1]"
"[S(o, c)] B(y, e) | S(o, w) | B(s, d) | S(w, h) | S(h, c)","[0, 1, 0, 1, 1]"
"[B(e, c)] S(w, f) | B(e, h) | B(h, v) | B(k, c) | B(v, k) | B(y, s)","[0, 1, 1, 1, 1, 0]"
"[P(f, p)] S(o, i) | P(f, r) | P(t, b) | S(j, c) | B(n, l) | P(r, u) | P(u, p)","[0, 1, 0, 0, 0, 1, 1]"
"[S(k, d)] S(k, j) | S(n, v) | S(j, l) | B(s, o) | S(l, d)","[1, 0, 1, 0, 1]"
"[P(a, n)] P(f, n) | B(j, l) | P(a, d) | P(d, q) | S(u, z) | P(k, f) | P(q, k) | S(t, s)","[1, 0, 1, 1, 0, 1, 1, 0]"
"[P(b, r)] P(k, r) | P(x, k) | S(w, n) | S(t, i) | P(l, x) | P(b, l) | P(s, y) | S(m, q)","[1, 1, 0, 0, 1, 1, 0, 0]"
"[B(i, o)] P(e, m) | P(x, b) | B(y, o) | B(v, d) | B(i, h) | B(h, y)","[0, 0, 1, 0, 1, 1]"
"[B(c, x)] B(f, x) | P(m, i) | P(b, l) | B(c, s) | B(p, f) | S(g, t) | B(s, p)","[1, 0, 0, 1, 1, 0, 1]"
"[P(w, b)] P(a, b) | P(f, j) | P(w, n) | P(u, m) | P(v, a) | P(n, v)","[1, 0, 1, 0, 1, 1]"
"[B(w, c)] B(w, y) | S(e, l) | B(y, h) | P(q, u) | P(v, p) | B(h, c)","[1, 0, 1, 0, 0, 1]"
"[P(a, m)] P(u, m) | P(e, r) | P(y, o) | S(v, n) | P(f, s) | B(b, q) | P(d, e) | P(a, d) | P(r, u)","[1, 1, 0, 0, 0, 0, 1, 1, 1]"
"[B(d, n)] B(o, s) | S(m, g) | P(k, t) | B(h, i) | S(w, l) | B(e, n) | B(d, h) | B(i, e)","[0, 0, 0, 1, 0, 1, 1, 1]"
"[P(x, n)] P(s, f) | P(b, g) | P(g, n) | S(d, z) | P(f, b) | P(i, u) | P(x, s)","[1, 1, 1, 0, 1, 0, 1]"
"[P(b, e)] P(d, t) | P(n, w) | P(w, j) | P(o, i) | P(b, n) | P(j, h) | B(l, q) | P(h, e)","[0, 1, 1, 0, 1, 1, 0, 1]"
"[S(r, g)] S(r, j) | S(t, p) | S(p, g) | B(n, v) | S(w, u) | S(j, t) | P(y, k)","[1, 1, 1, 0, 0, 1, 0]"
"[P(d, n)] P(o, s) | P(t, w) | P(j, g) | P(l, n) | P(s, l) | P(v, r) | P(d, c) | P(c, o) | S(z, x)","[1, 0, 0, 1, 1, 0, 1, 1, 0]"
"[B(c, h)] B(g, w) | B(q, j) | B(c, g) | P(t, v) | B(b, h) | B(l, d) | B(w, b)","[1, 0, 1, 0, 1, 0, 1]"
"[S(k, j)] B(o, u) | S(m, h) | B(x, n) | S(h, j) | S(v, m) | S(s, v) | S(g, c) | P(z, w) | S(k, s)","[0, 1, 0, 1, 1, 1, 0, 0, 1]"
"[B(u, f)] B(r, d) | B(z, f) | P(i, h) | B(u, r) | B(o, z) | B(b, k) | B(d, o) | B(t, n)","[1, 1, 0, 1, 1, 0, 1, 0]"
"[B(f, w)] S(p, j) | B(f, b) | S(s, g) | B(q, n) | B(b, q) | B(n, w) | B(d, a) | P(e, v)","[0, 1, 0, 1, 1, 1, 0, 0]"
"[B(m, g)] B(m, d) | B(o, s) | S(q, c) | B(d, x) | B(x, f) | B(w, a) | B(f, g) | P(p, t)","[1, 0, 0, 1, 1, 0, 1, 0]"
"[S(d, v)] B(r, g) | S(i, q) | B(b, z) | S(t, v) | S(q, t) | S(u, i) | S(d, u)","[0, 1, 0, 1, 1, 1, 1]"
"[B(x, t)] B(m, b) | S(e, d) | B(f, y) | P(u, q) | B(x, m) | B(b, t) | S(k, c)","[1, 0, 0, 0, 1, 1, 0]"
